a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
acl 2.3.2-1
ada 3.3.0-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20251125-2
android-udev 20250525-1
aom 3.13.1-1
apache 2.4.66-1
appstream 1.1.1-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-2
arch-install-scripts 31-1
archlinux-keyring 20251116-1
argon2 20190702-6
asciidoc 10.2.1-2
asp 8-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
avahi 1:0.9rc2-1
base 3-2
base-devel 1-2
bash 5.3.9-1
bat 0.26.1-1
bind 9.20.17-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
bleachbit 5.0.2-1
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
breezy 3.3.17-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
calcurse 4.8.2-1
capstone 5.0.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
chromium 143.0.7499.169-1
clang 21.1.6-1
cliphist 1:0.7.0-1
cmake 4.2.1-1
cmatrix 2.0-4
compiler-rt 21.1.6-1
containerd 2.2.1-1
corepack 0.34.5-1
coreutils 9.9-1
cppdap 1.58.0-2
cpupower 6.18-1
cryptsetup 2.8.1-1
curl 8.17.0-2
cython 3.2.3-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debtap 3.6.3-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
devtools 1:1.4.0-3
diffoscope 309-1
diffutils 3.12-2
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.1.3-1
docker-compose 5.0.0-1
double-conversion 3.4.0-1
dtc 1.7.2-4
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-2
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
electron37 37.5.1-1
elfutils 0.194-1
ell 0.81-1
enchant 2.8.14-1
evtest 1.36-1
exempi 2.6.6-2
exiv2 0.28.7-1
expac 10-12
expat 2.7.3-1
eza 0.23.4-1
fakeroot 1.37.1.2-1
fastfetch 2.56.1-1
fd 10.3.0-1
ffmpeg 2:8.0.1-2
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 146.0.1-1
flac 1.5.0-1
flex 2.6.4-5
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fzf 0.67.0-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gedit 48.2-1
gettext 0.26-1
gexiv2 0.16.0-1
giflib 5.2.2-2
git 2.52.0-2
git-delta 0.18.2-6
git-sizer 1.5.0-3
github-cli 2.83.2-1
glib-networking 1:2.80.1-1
glib2 2.86.3-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glow 2.1.1-1
glslang 1:1.4.335.0-1
glu 9.0.3-2
glycin 2.0.7-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gns3-server-git v2.2.54.r16.g9c33827d-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-4
gnutls 3.8.11-2
go 2:1.25.5-1
gobject-introspection-runtime 1.86.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.1-1
granite7 7.7.0-1
graphene 1.10.8-2
graphicsmagick 1.3.46-1
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14rc1.r54.g29f3131a-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.23-1
gspell 1.14.2-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gst-plugins-good 1.26.9-1
gst-plugins-ugly 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gvfs-mtp 1.58.0-2
gzip 1.14-2
harfbuzz 12.2.0-2
harfbuzz-icu 12.3.0-1
hdparm 9.65-3
helix 25.07.1-1
helm 3.19.4-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.402-1
hyphen 2.8.8-6
hyprcursor 0.1.13-3
hyprgraphics 0.4.0-2
hypridle 0.1.7-6
hyprland 0.52.2-2
hyprland-guiutils 0.2.0-2
hyprlang 0.6.7-2
hyprlock 0.9.2-7
hyprpicker 0.4.5-8
hyprtoolkit 0.4.1-2
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
iana-etc 20251120-1
icu 78.1-1
imath 3.2.2-2
imlib2 1.12.5-1
iniparser 4.2.6-2
intel-gmmlib 22.8.2-1
intel-media-driver 25.3.4-1
iproute2 6.18.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.19.0-1
iw 6.17-1
iwd 3.10-1
jansson 2.14.1-1
jasper 4.2.8-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
k9s 0.50.16-1
kauth 6.21.0-1
kbd 2.9.0-1
kcolorscheme 6.21.0-1
